titles,ranks,a_count,a_score,actor1,actor2,actor3,box_office,c_count,c_score,genre,mp_rating,runtime,year,month
Hostiles,19,"3,471",71,Christian Bale,Rosamund Pike,Wes Studi,"402,903",120,72,"Action & Adventure,                        Drama,                        Western","R (for strong violence, and language)",135,2018,Jan
Mom and Dad,21,565,45,Nicolas Cage,Selma Blair,Anne Winters,,53,72,"Comedy,                        Horror","R (for disturbing horror violence, language throughout, some sexual content/nudity and teen drug use)",83,2018,Jan
Golden Exits,22,135,75,Emily Browning,Adam Horovitz,Mary-Louise Parker,,27,66,Drama,R (for some language and sexual references),94,2018,Feb
The Commuter,23,"3,903",48,Liam Neeson,Vera Farmiga,Patrick Wilson,,92,58,"Drama,                        Mystery & Suspense","PG-13 (for some intense action/violence, and language)",105,2018,Jan
12 Strong,24,"3,804",71,Chris Hemsworth,Michael Shannon,Michael Peña,,69,54,"Action & Adventure,                        Drama",R (for war violence and language throughout),,2018,Jan
Peter Rabbit,25,"1,166",61,Rose Byrne,Domhnall Gleeson,Sam Neill,,38,58,"Action & Adventure,                        Animation,                        Comedy",PG (for some rude humor and action),,2018,Feb
Maze Runner: The Death Cure,26,"14,877",69,Dylan O'Brien (II),Kaya Scodelario,Thomas Sangster,,59,43,"Action & Adventure,                        Drama,                        Science Fiction & Fantasy","PG-13 (for intense sequences of sci-fi violence and action, language, and some thematic elements)",114,2018,Jan
Den of Thieves,27,"2,926",69,Gerard Butler,Pablo Schreiber,"O'Shea Jackson, Jr.",,36,39,"Action & Adventure,                        Drama","R (for violence, language and some sexuality/nudity)",140,2018,Jan
Insidious: The Last Key,28,"4,638",52,Lin Shaye,Angus Sampson,Leigh Whannell,"29,581,355",26,33,Horror,"PG-13 (for disturbing thematic content, violence and terror, and brief strong language)",103,2018,Jan
Proud Mary,29,"1,468",56,Taraji P. Henson,Jahi Di'Allo Winston,Danny Glover,,13,26,"Action & Adventure,                        Drama,                        Mystery & Suspense",R (for violence),,2018,Jan
The 15:17 to Paris,30,"1,219",46,Anthony Sadler,Alek Skarlatos,Spencer Stone,,21,23,Drama,"PG-13 (for bloody images, violence, some suggestive material, drug references and language)",120,2018,Feb
Forever My Girl,31,"1,110",90,Alex Roe,Jessica Rothe,Abby Ryder Fortson,,9,21,"Drama,                        Musical & Performing Arts,                        Romance","PG (for thematic elements including drinking, and for language)",104,2018,Jan
The Cloverfield Paradox,32,"6,898",52,David Oyelowo,Gugu Mbatha-Raw,Chris O'Dowd,,15,16,"Mystery & Suspense,                        Science Fiction & Fantasy",NR,,2018,Feb
Fifty Shades Freed,33,"3,218",53,Dakota Johnson,Jamie Dornan,Eric Johnson,,12,11,Drama,"R (for strong sexual content, nudity, and language)",,2018,Feb
Winchester,34,"1,816",40,Helen Mirren,Jason Clarke,Sarah Snook,,8,10,"Drama,                        Mystery & Suspense,                        Science Fiction & Fantasy","PG-13 (for violence, disturbing images, drug content, some sexual material and thematic elements)",,2018,Feb
Get Out,1,"68,604",87,Daniel Kaluuya,Allison Williams,Catherine Keener,"175,428,355",297,99,"Comedy,                        Horror,                        Mystery & Suspense","R (for violence, bloody images, and language including sexual references)",104,2017,Feb
The Big Sick,2,"30,621",88,Kumail Nanjiani,Zoe Kazan,Holly Hunter,"42,824,653",245,98,"Comedy,                        Romance",R (for language including some sexual references),119,2017,Jul
Lady Bird,3,"15,687",81,Saoirse Ronan,Laurie Metcalf,Tracy Letts,"34,128,122",231,99,"Comedy,                        Drama","R (for language, sexual content, brief graphic nudity and teen partying)",93,2017,Nov
Dunkirk,4,"64,527",81,Fionn Whitehead,Tom Glynn-Carney,Jack Lowden,"188,042,171",344,92,"Action & Adventure,                        Drama",PG-13 (for intense war experience and some language),107,2017,Jul
Coco,5,"21,222",95,Anthony Gonzalez (VIII),Gael García Bernal,Benjamin Bratt,"191,925,612",259,97,"Action & Adventure,                        Animation,                        Comedy",PG (for thematic elements),,2017,Nov
Wonder Woman,6,"122,975",88,Gal Gadot,Chris Pine,Connie Nielsen,"412,400,625",337,92,"Action & Adventure,                        Drama,                        Science Fiction & Fantasy","PG-13 (for sequences of violence and action, and some suggestive content)",141,2017,Jun
Logan,7,"89,064",90,Hugh Jackman,Patrick Stewart,Boyd Holbrook,"226,276,809",304,93,"Action & Adventure,                        Drama,                        Science Fiction & Fantasy","R (for strong brutal violence and language throughout, and for brief nudity)",135,2017,Mar
Star Wars: The Last Jedi,8,"182,734",48,Daisy Ridley,Domhnall Gleeson,Adam Driver,"572,691,546",327,91,"Action & Adventure,                        Drama,                        Science Fiction & Fantasy",PG-13 (for sequences of sci-fi action and violence),152,2017,Dec
Baby Driver,9,"59,609",86,Ansel Elgort,Kevin Spacey,Lily James,"107,770,367",289,93,"Action & Adventure,                        Comedy,                        Drama",R (for violence and language throughout.),113,2017,Jun
Thor: Ragnarok,10,"85,454",88,Chris Hemsworth,Tom Hiddleston,Mark Ruffalo,"312,459,726",295,92,"Action & Adventure,                        Drama,                        Science Fiction & Fantasy","PG-13 (for intense sequences of sci-fi violence and action, and brief suggestive material)",130,2017,Nov
The Florida Project,11,"10,511",78,Willem Dafoe,Valeria Cotto,Bria Vinaite,"5,412,775",222,96,Drama,"R (for language throughout, disturbing behavior, sexual references and some drug material)",115,2017,Oct
War for the Planet of the Apes,12,"55,318",84,Andy Serkis,Woody Harrelson,Steve Zahn,"146,872,826",273,93,"Action & Adventure,                        Drama,                        Science Fiction & Fantasy","PG-13 (for sequences of sci-fi violence and action, thematic elements, and some disturbing images)",140,2017,Jul
"Three Billboards Outside Ebbing, Missouri",13,"16,169",87,Frances McDormand,Woody Harrelson,Sam Rockwell,"25,392,902",272,93,"Comedy,                        Drama","R (for violence, language throughout, and some sexual references)",115,2017,Dec
Spider-Man: Homecoming,14,"101,892",88,Tom Holland (II),Michael Keaton,Zendaya,"334,166,825",288,92,"Action & Adventure,                        Drama,                        Science Fiction & Fantasy","PG-13 (for sci-fi action violence, some language and brief suggestive comments)",,2017,Jul
The Shape of Water,16,"17,311",78,Sally Hawkins,Michael Shannon,Richard Jenkins,"21,692,548",270,92,"Drama,                        Science Fiction & Fantasy,                        Romance","R (for sexual content, graphic nudity, violence and language)",119,2017,Dec
Hidden Figures,17,"57,251",93,Taraji P. Henson,Octavia Spencer,Janelle Monáe,"169,385,416",238,93,Drama,PG (for thematic elements and some language),127,2017,Jan
The Salesman (Forushande),18,"7,043",83,Taraneh Alidoosti,Shahab Hosseini,Babak Karimi,"11,067",169,96,"Art House & International,                        Drama,                        Mystery & Suspense",PG-13 (for mature thematic elements and a brief bloody image),125,2017,Jan
The Lego Batman Movie,19,"45,272",80,Will Arnett,Zach Galifianakis,Michael Cera,"175,686,290",245,91,"Action & Adventure,                        Animation,                        Comedy,                        Kids & Family",PG (for rude humor and some action),90,2017,Feb
My Life as a Zucchini (Ma vie de courgette),21,"6,093",87,Will Forte,Nick Offerman,Ellen Page,"279,912",120,98,"Animation,                        Art House & International,                        Kids & Family",PG-13 (for thematic elements and suggestive material),66,2017,Feb
The Disaster Artist,22,"12,445",89,James Franco,Seth Rogen,Dave Franco,,244,91,Comedy,R (for language throughout and some sexuality/nudity),104,2017,Dec
God's Own Country,23,"3,398",86,Josh O'Connor,Alec Secareanu,Gemma Jones,,97,99,"Art House & International,                        Drama,                        Romance",NR,104,2017,Oct
Blade Runner 2049,24,"55,741",81,Ryan Gosling,Harrison Ford,Ana de Armas,"91,800,042",300,87,"Action & Adventure,                        Drama,                        Science Fiction & Fantasy","R (for violence, some sexuality, nudity and language)",164,2017,Oct
Logan Lucky,25,"26,157",75,Channing Tatum,Adam Driver,Riley Keough,"27,696,504",221,92,Comedy,PG-13 (for language and some crude comments),119,2017,Aug
Mudbound,26,"4,771",86,Carey Mulligan,Jason Clarke,Mary J. Blige,,148,96,Drama,"R (for some disturbing violence, brief language and nudity)",134,2017,Nov
BPM (Beats Per Minute) (120 battements par minute),28,950,85,Nahuel Pérez Biscayart,Arnaud Valois,Adèle Haenel,"94,373",89,99,"Art House & International,                        Drama",NR,146,2017,Oct
After the Storm (Umi yori mo mada fukaku),31,"1,635",80,Hiroshi Abe,Yoko Maki,Kirin Kiki,"270,210",117,97,"Art House & International,                        Drama",NR,117,2017,Mar
Lucky,32,"3,797",82,Harry Dean Stanton,David Lynch,Ron Livingston,"925,118",96,98,"Comedy,                        Drama",NR,86,2017,Sep
The Happiest Day in the Life of Olli Mäki (Hymyilevä mies),36,321,78,Jarkko Lahti,Eero Milonoff,Oona Airola,,48,100,"Art House & International,                        Drama,                        Romance,                        Sports & Fitness",NR,93,2017,Apr
Columbus,38,"5,168",81,John Cho,Haley Lu Richardson,Rory Culkin,"892,778",83,98,Drama,NR,104,2017,Aug
A Ghost Story,39,"15,608",65,Casey Affleck,Rooney Mara,Will Oldham,"1,594,798",205,91,Drama,R (for brief language and a disturbing image),87,2017,Jul
Your Name. (Kimi No Na Wa.),40,"10,163",94,Ryûnosuke Kamiki,Michael Sinterniklaas,Mone Kamishiraishi,"4,676,810",97,97,"Animation,                        Drama,                        Romance","PG (for thematic elements, suggestive content, brief language, and smoking)",106,2017,Apr
Menashe,41,"2,103",65,Menashe Lustig,Ruben Niborski,Yoel Weisshaus,"1,688,620",95,97,Drama,PG (for thematic elements.),81,2017,Jul
Good Time,42,"7,674",81,Robert Pattinson,Benny Safdie,Jennifer Jason Leigh,"1,999,047",185,92,Drama,"R (for language throughout, violence, drug use and sexual content)",100,2017,Aug
The Red Turtle (La tortue rouge),43,"6,157",80,Michaël Dudok De Wit,Emmanuel Garijo,Jean-Christophe Lie,"920,057",140,94,"Animation,                        Art House & International",PG (for some thematic elements and peril),80,2017,Jan
Truman,44,"2,057",79,Ricardo Darín,Javier Cámara,Dolores Fonzi,"208,799",64,98,"Art House & International,                        Comedy,                        Drama",NR,,2017,Apr
In This Corner of the World (Kono sekai no katasumi ni),45,"1,430",96,Rena Nounen,Megumi Han,Yoshimasa Hosoya,,63,98,"Animation,                        Art House & International,                        Drama",PG-13 (for thematic elements including war-related images),129,2017,Aug
Graduation (Bacalaureat),46,"1,624",84,Adrian Titieni,Maria-Victoria Dragus,Lia Bugnar,"175,975",120,95,"Art House & International,                        Drama",R (for some language),127,2017,Apr
"I, Daniel Blake",47,"7,901",85,Dave Johns,Hayley Squires,Dylan McKiernan,"252,282",155,93,"Art House & International,                        Drama",R (for language),100,2017,Jun
The Last Laugh,51,168,90,David Cross,Gilbert Gottfried,Mel Brooks,,41,98,Documentary,NR,90,2017,Mar
Stronger,52,"12,257",82,Jake Gyllenhaal,Tatiana Maslany,Clancy Brown,"4,192,426",146,92,Drama,"R (for language throughout, some graphic injury images, and brief sexuality/nudity)",119,2017,Sep
It,53,"63,075",84,Bill Skarsgård,Jaeden Lieberher,Jeremy Ray Taylor,"326,898,358",259,85,"Drama,                        Horror,                        Mystery & Suspense","R (for violence/horror, bloody images, and for language)",135,2017,Sep
John Wick: Chapter 2,54,"53,852",85,Keanu Reeves,John Leguizamo,Bridget Moynahan,"91,970,516",196,89,"Action & Adventure,                        Drama","R (for strong violence throughout, some language and brief nudity)",122,2017,Feb
The Meyerowitz Stories (New and Selected),55,"4,802",73,Adam Sandler,Ben Stiller,Dustin Hoffman,,143,92,"Comedy,                        Drama",NR,,2017,Oct
Guardians of the Galaxy Vol. 2,57,"104,521",88,Chris Pratt,Zoe Saldana,Dave Bautista,"389,804,217",277,83,"Action & Adventure,                        Comedy,                        Science Fiction & Fantasy","PG-13 (for sequences of sci-fi action and violence, language, and brief suggestive content)",137,2017,May
A Quiet Passion,60,"4,521",49,Cynthia Nixon,Jennifer Ehle,Keith Carradine,"1,864,266",138,91,Drama,"PG-13 (for thematic elements, disturbing images and brief suggestive material)",126,2017,Apr
The Women's Balcony (Ismach Hatani),61,"1,395",77,Orna Banai,Itzik Cohen,Einat Sarouf,"1,187,629",44,96,"Art House & International,                        Comedy,                        Drama",NR,96,2017,Mar
Battle of the Sexes,63,"14,952",73,Emma Stone,Steve Carell,Andrea Riseborough,"12,552,907",215,86,"Comedy,                        Drama,                        Sports & Fitness",PG-13 (for some sexual content and partial nudity),121,2017,Sep
It Comes At Night,64,"18,791",44,Joel Edgerton,Riley Keough,Christopher Abbott,"13,985,117",184,88,"Drama,                        Horror","R (for violence, disturbing images, and language)",91,2017,Jun
Thelma,65,"2,156",76,Eili Harboe,Okay Kaya,Kaya Wilkins,"137,420",109,92,"Art House & International,                        Mystery & Suspense",NR,116,2017,Nov
A Monster Calls,66,"24,720",81,Sigourney Weaver,Felicity Jones,Lewis MacDougall,"3,730,982",208,86,"Comedy,                        Drama,                        Kids & Family,                        Science Fiction & Fantasy",PG-13 (for thematic content and some scary images),108,2017,Jan
20th Century Women,67,"12,549",73,Annette Bening,Elle Fanning,Greta Gerwig,"5,663,854",175,88,"Comedy,                        Drama","R (for sexual material, language, some nudity and brief drug use)",118,2017,Jan
Raw,68,"6,831",76,Garance Marillier,Ella Rumpf,Rabah Nait Oufella,"508,425",139,90,Horror,"R (for aberrant behavior, bloody and grisly images, strong sexuality, nudity, language and drug use/partying)",98,2017,Mar
Darkest Hour,69,"10,552",83,Gary Oldman,Kristin Scott Thomas,Stephen Dillane,"28,086,332",204,86,Drama,PG-13 (for some thematic material),125,2017,Dec
American Made,70,"25,058",79,Tom Cruise,Domhnall Gleeson,Sarah Wright,"51,071,805",202,86,"Action & Adventure,                        Drama,                        Mystery & Suspense",R (for language throughout and some sexuality/nudity),115,2017,Sep
Wind River,71,"27,560",91,Jeremy Renner,Elizabeth Olsen,Jon Bernthal,"33,782,714",185,87,"Drama,                        Mystery & Suspense","R (strong violence, a rape, disturbing images, and language)",111,2017,Aug
Prevenge,72,"1,316",55,Alice Lowe (III),Gemma Whelan,Kate Dickie,,61,94,"Art House & International,                        Comedy,                        Drama,                        Horror,                        Science Fiction & Fantasy",NR,88,2017,Mar
The Lost City of Z,73,"20,931",58,Charlie Hunnam,Tom Holland (II),Robert Pattinson,"8,554,554",183,87,"Action & Adventure,                        Drama","PG-13 (for violence, disturbing images, brief strong language and some nudity)",140,2017,Apr
The Breadwinner,75,819,90,Saara Chaudry,Soma Chhaya,Laara Sadiq,"228,056",58,94,"Animation,                        Drama,                        Kids & Family",PG-13 (for thematic material including some violent images),93,2017,Nov
Lady Macbeth,76,"6,074",70,Florence Pugh,Christopher Fairbank,Cosmo Jarvis,"1,128,187",148,89,"Art House & International,                        Drama","R (for some disturbing violence, strong sexuality/nudity, and language.)",89,2017,Jul
Their Finest,77,"7,895",72,Gemma Arterton,Bill Nighy,Sam Claflin,"3,595,841",126,90,"Comedy,                        Drama,                        Romance",R (for some language and a scene of sexuality),110,2017,Apr
Girls Trip,79,"22,489",80,Regina Hall,Tiffany Haddish,Larenz Tate,"115,088,305",121,90,"Comedy,                        Drama","R (for crude and sexual content throughout, pervasive language, brief graphic nudity, and drug material)",122,2017,Jul
Endless Poetry (Poesía Sin Fin),80,"1,260",83,Adan Jodorowsky,Pamela Flores,Brontis Jodorowsky,"28,000",48,94,"Art House & International,                        Drama,                        Science Fiction & Fantasy",NR,128,2017,Jul
Detroit,81,"17,233",79,John Boyega,Anthony Mackie,Will Poulter,"16,788,494",210,84,"Drama,                        Mystery & Suspense",R (for strong violence and pervasive language),142,2017,Aug
Frantz,82,"2,374",84,Pierre Niney,Ernst Stötzner,Paula Beer,"880,474",112,90,"Art House & International,                        Drama",PG-13 (for thematic elements including brief war violence),114,2017,Mar
Land of Mine (Under Sandet),84,"4,762",88,Roland Møller,Mikkel Boe Følsgaard,Louis Hofmann,"434,640",89,91,"Art House & International,                        Drama","R (for violence, some grisly images, and language)",110,2017,Feb
Brawl in Cell Block 99,85,"5,210",73,Vince Vaughn,Don Johnson,Jennifer Carpenter,,71,92,"Action & Adventure,                        Mystery & Suspense",NR,132,2017,Oct
Silence,86,"24,660",69,Liam Neeson,Adam Driver,Andrew Garfield,"7,063,885",201,84,Drama,R (for some disturbing violent content.),161,2017,Jan
Maudie,87,"7,303",89,Sally Hawkins,Ethan Hawke,Kari Matchett,"6,139,048",118,89,"Art House & International,                        Drama,                        Romance",PG-13 (for some thematic content and brief sexuality),115,2017,Jun
Gook,90,"1,205",82,Justin Chon,Simone Baker,David So,"222,191",38,93,Drama,NR,94,2017,Aug
Clash (Eshtebak),91,309,87,Nelly Karim,Hany Adel,Hosny Sheta,"18,031",37,93,"Art House & International,                        Drama",NR,97,2017,Aug
Only the Brave,92,"11,687",92,Josh Brolin,Miles Teller,Jennifer Connelly,"18,255,680",121,88,"Action & Adventure,                        Drama","PG-13 (for thematic content, some sexual references, language and drug material)",,2017,Oct
Norman (Norman: The Moderate Rise and Tragic Fall of a New York Fixer),93,"3,765",57,Richard Gere,Lior Ashkenazi,Michael Sheen,"3,814,868",101,89,Drama,R (for some language),118,2017,Apr
Professor Marston & The Wonder Women,95,"4,662",79,Luke Evans,Rebecca Hall,Bella Heathcote,"1,583,641",130,87,Drama,"R (for strong sexual content including brief graphic images, and language)",108,2017,Oct
Okja,96,"9,444",81,Tilda Swinton,Paul Dano,Seo-hyeon Ahn,,163,85,"Action & Adventure,                        Drama,                        Science Fiction & Fantasy",NR,118,2017,Jun
The Other Side of Hope (Toivon tuolla puolen),97,520,79,Sherwan Haji,Sakari Kuosmanen,Janne Hyytiäinen,,71,90,"Art House & International,                        Comedy,                        Drama",NR,98,2017,Dec
Marjorie Prime,98,"1,249",64,Jon Hamm,Geena Davis,Lois Smith,"174,051",71,90,"Drama,                        Science Fiction & Fantasy",NR,97,2017,Aug
The Founder,99,"31,668",82,Michael Keaton,Nick Offerman,John Carroll Lynch,"12,785,093",185,83,Drama,PG-13 (for brief strong language),115,2017,Jan
Gerald's Game,100,"2,576",74,Carla Gugino,Bruce Greenwood,Henry Thomas,,50,91,"Drama,                        Horror,                        Mystery & Suspense",NR,103,2017,Sep
Moonlight,1,"43,024",79,Naomie Harris,André Holland,Mahershala Ali,"27,850,910",305,98,Drama,"R (for some sexuality, drug use, brief violence, and language throughout)",110,2016,Oct
Zootopia,2,"99,518",92,Ginnifer Goodwin,Jason Bateman,Idris Elba,"341,264,012",250,98,"Action & Adventure,                        Animation,                        Comedy","PG (for some thematic elements, rude humor and action)",108,2016,Mar
Arrival,3,"80,246",82,Amy Adams,Jeremy Renner,Forest Whitaker,"100,501,349",322,94,"Drama,                        Mystery & Suspense,                        Science Fiction & Fantasy",PG-13 (for brief strong language),116,2016,Nov
La La Land,4,"68,692",81,Ryan Gosling,Emma Stone,John Legend,"151,058,124",350,92,"Comedy,                        Drama,                        Musical & Performing Arts",PG-13 (for some language),128,2016,Dec
Hell or High Water,5,"38,594",88,Dale Dickey,Chris Pine,Ben Foster,"26,973,524",240,97,"Drama,                        Mystery & Suspense","R (for some strong violence, language throughout and brief sexuality)",102,2016,Aug
Manchester by the Sea,6,"48,875",77,Casey Affleck,Michelle Williams,Kyle Chandler,"47,695,120",279,95,Drama,R (for language throughout and some sexual content.),135,2016,Dec
The Jungle Book,7,"93,405",86,Neel Sethi,Neel Sethi,Bill Murray,"363,995,937",278,95,"Action & Adventure,                        Kids & Family",PG (for some sequences of scary action and peril),111,2016,Apr
Finding Dory,8,"180,634",84,Ellen DeGeneres,Albert Brooks,Hayden Rolence,"486,292,984",276,94,Animation,PG (for mild thematic elements),100,2016,Jun
Moana,9,"67,344",89,Auli'i Cravalho,Dwayne Johnson,Temuera Morrison,"248,752,120",231,96,"Action & Adventure,                        Animation,                        Kids & Family","PG (for peril, some scary images and brief thematic elements)",103,2016,Nov
Captain America: Civil War,10,"175,476",89,Chris Evans,Robert Downey Jr.,Scarlett Johansson,"408,080,554",325,91,"Action & Adventure,                        Science Fiction & Fantasy","PG-13 (for extended sequences of violence, action and mayhem)",146,2016,May
Paterson,11,"15,378",71,Adam Driver,Golshifteh Farahani,Barry Shabaka Henley,"2,141,423",220,96,"Comedy,                        Drama",R (for some language),115,2016,Dec
Things to Come (L'avenir),12,"6,452",70,Isabelle Huppert,André Marcon,Roman Kolinka,"335,929",130,100,"Art House & International,                        Drama",PG-13 (for brief language and drug use),100,2016,Dec
Kubo and the Two Strings,13,"34,492",86,Art Parkinson,Charlize Theron,Ralph Fiennes,"48,019,281",187,97,"Action & Adventure,                        Animation,                        Science Fiction & Fantasy","PG (for thematic elements, scary images, action and peril)",101,2016,Aug
Love & Friendship,14,"19,963",60,Kate Beckinsale,Chloë Sevigny,Xavier Samuel,"14,013,564",183,97,"Comedy,                        Drama",PG (for some thematic elements),94,2016,May
Hunt for the Wilderpeople,15,"23,753",91,Julian Dennison,Sam Neill,Rima Te Wiata,"5,202,582",172,97,"Action & Adventure,                        Comedy","NR (for thematic elements including violent content, and for some language)",101,2016,Jun
Fences,16,"35,751",75,Denzel Washington,Viola Davis,Stephen Henderson,"57,642,961",217,94,Drama,"PG-13 (for thematic elements, language and some suggestive references)",133,2016,Dec
The Nice Guys,17,"55,006",79,Russell Crowe,Ryan Gosling,Angourie Rice,"32,261,515",254,92,"Comedy,                        Drama","R (for violence, sexuality, nudity, language and brief drug use)",116,2016,May
Weiner,18,"7,764",83,Anthony Weiner,Huma Abedin,Barbara Morgan,"1,675,196",149,97,Documentary,R (for language and some sexual material),96,2016,May
Don't Think Twice,19,"18,978",69,Keegan-Michael Key,Gillian Jacobs,Mike Birbiglia,"4,417,983",124,98,Comedy,R (for language and some drug use),92,2016,Jul
The Witch,20,"39,800",57,Anya Taylor-Joy,Ralph Ineson,Kate Dickie,"19,239,494",264,91,Horror,R (for disturbing violent content and graphic nudity),92,2016,Apr
Tower,21,"3,098",90,Violett Beane,Blair Jackson,Josephine McAdam,"98,092",78,100,"Animation,                        Documentary",NR,82,2016,Mar
Eye In The Sky,22,"32,456",83,Helen Mirren,Alan Rickman,Aaron Paul,"16,641,379",185,95,"Drama,                        Mystery & Suspense",R (for some violence images and language.),102,2016,Apr
Sing Street,24,"16,431",92,Ferdia Walsh-Peelo,Lucy Boynton,Jack Reynor,"3,233,839",178,95,"Art House & International,                        Drama,                        Musical & Performing Arts","PG-13 (for thematic elements including strong language and some bullying behavior, a suggestive image, drug material and teen smoking)",106,2016,Apr
Doctor Strange,25,"106,038",86,Benedict Cumberbatch,Tilda Swinton,Rachel McAdams,"232,630,718",273,90,"Action & Adventure,                        Science Fiction & Fantasy","PG-13 (for sci-fi violence and action throughout, and an intense crash sequence)",130,2016,Nov
The Handmaiden (Ah-ga-ssi),26,"9,958",91,Min-hee Kim,Ha Jung-woo,Cho Jin-Woong,"2,004,919",175,95,"Art House & International,                        Drama,                        Romance",NR,145,2016,Oct
The Edge of Seventeen,27,"26,513",83,Hailee Steinfeld,Woody Harrelson,Kyra Sedgwick,"14,260,193",170,95,"Comedy,                        Drama","R (for sexual content, language and some drinking - all involving teens)",98,2016,Nov
Only Yesterday,28,"11,560",86,Miki Imai,Youko Honna,Daisy Ridley,"415,939",52,100,"Animation,                        Art House & International,                        Drama,                        Romance","PG (for thematic elements, some rude behavior and smoking)",118,2016,Feb
The Wailing (Goksung),29,"6,407",81,Kwak Do-won,Jung-min Hwang,Jun Kunimura,"785,405",73,99,"Art House & International,                        Drama,                        Mystery & Suspense",NR,156,2016,Jun
The Fits,31,"2,196",55,Royalty Hightower,Alexis Neblett,Makyla Burnam,"166,425",91,98,Drama,NR,72,2016,Jun
Under The Shadow,32,"4,430",74,Narges Rashidi,Avin Manshadi,Bobby Naderi,"25,832",68,99,"Art House & International,                        Horror,                        Mystery & Suspense","PG-13 (for terrror, scary images and brief language)",84,2016,Oct
Embrace Of The Serpent (El Abrazo De La Serpiente),33,"8,702",84,Jan Bijvoet,Brionne Davis,Nilbio Torres,"1,320,005",131,96,"Action & Adventure,                        Art House & International",NR,123,2016,Feb
10 Cloverfield Lane,34,"59,630",79,Mary Elizabeth Winstead,John Goodman,John Gallagher Jr.,"59,481,553",250,90,"Drama,                        Mystery & Suspense,                        Science Fiction & Fantasy","PG-13 (for thematic material including frightening sequences of threat with some violence, and brief language)",90,2016,Mar
The Age of Shadows,35,"1,260",82,Song Kang-ho,Yoo Gong,Han Ji-min,"541,226",41,100,"Action & Adventure,                        Drama",NR,139,2016,Sep
